1775804365.1764, 0.224, 0.013,1775804365.0764, 0.038, 0.034, 0.055
1775804365.2764, 0.225, 0.017,1775804365.0764, 0.038, 0.034, 0.055
1775804365.3764, 0.226, 0.016,1775804365.0764, 0.038, 0.034, 0.055
1775804365.4764, 0.227, 0.012,1775804365.0764, 0.038, 0.034, 0.055
1775804365.5764, 0.228, 0.011,1775804365.0764, 0.038, 0.034, 0.055
1775804365.6764, 0.229, 0.012,1775804365.0764, 0.038, 0.034, 0.055
1775804365.7764, 0.231, 0.012,1775804365.0764, 0.038, 0.034, 0.055
1775804365.8764, 0.232, 0.018,1775804365.0764, 0.038, 0.034, 0.055
1775804365.9764, 0.233, 0.016,1775804365.0764, 0.038, 0.034, 0.055
1775804366.0764, 0.234, 0.018,1775804365.0764, 0.038, 0.034, 0.055
1775804366.1764, 0.235, 0.014,1775804365.0764, 0.038, 0.034, 0.055
1775804366.2764, 0.236, 0.010,1775804366.2764, 0.029, 0.038, 0.030
1775804366.3764, 0.237, 0.015,1775804366.2764, 0.029, 0.038, 0.030
1775804366.4764, 0.238, 0.023,1775804366.2764, 0.029, 0.038, 0.030
1775804366.5764, 0.239, 0.035,1775804366.2764, 0.029, 0.038, 0.030
1775804366.6764, 0.240, 0.030,1775804366.2764, 0.029, 0.038, 0.030
1775804366.7764, 0.241, 0.029,1775804366.2764, 0.029, 0.038, 0.030
1775804366.8764, 0.242, 0.005,1775804366.2764, 0.029, 0.038, 0.030
1775804366.9764, 0.243, 0.005,1775804366.2764, 0.029, 0.038, 0.030
1775804367.0764, 0.244, 0.012,1775804366.2764, 0.029, 0.038, 0.030
1775804367.1764, 0.246, 0.010,1775804366.2764, 0.029, 0.038, 0.030
1775804367.2764, 0.247, 0.019,1775804366.2764, 0.029, 0.038, 0.030
1775804367.3764, 0.248, 0.027,1775804366.2764, 0.029, 0.038, 0.030
1775804367.4764, 0.249, 0.021,1775804367.4764, 0.070, 0.038, 0.069
1775804367.5764, 0.250, 0.010,1775804367.4764, 0.070, 0.038, 0.069
1775804367.6764, 0.251, 0.005,1775804367.4764, 0.070, 0.038, 0.069
1775804367.7764, 0.253, 0.004,1775804367.4764, 0.070, 0.038, 0.069
1775804367.8764, 0.254, 0.007,1775804367.4764, 0.070, 0.038, 0.069
1775804367.9764, 0.255, 0.004,1775804367.4764, 0.070, 0.038, 0.069
1775804368.0764, 0.257, 0.019,1775804367.4764, 0.070, 0.038, 0.069
1775804368.1764, 0.258, 0.024,1775804367.4764, 0.070, 0.038, 0.069
1775804368.2764, 0.259, 0.022,1775804367.4764, 0.070, 0.038, 0.069
1775804368.3764, 0.260, 0.013,1775804367.4764, 0.070, 0.038, 0.069
1775804368.4764, 0.261, 0.013,1775804367.4764, 0.070, 0.038, 0.069
1775804368.5764, 0.262, 0.013,1775804367.4764, 0.070, 0.038, 0.069
1775804368.6764, 0.264, 0.010,1775804368.6764, 0.058, 0.040, 0.026
1775804368.7764, 0.265, 0.004,1775804368.6764, 0.058, 0.040, 0.026
1775804368.8764, 0.266, 0.008,1775804368.6764, 0.058, 0.040, 0.026
1775804368.9764, 0.268, 0.008,1775804368.6764, 0.058, 0.040, 0.026
1775804369.0764, 0.269, 0.016,1775804368.6764, 0.058, 0.040, 0.026
1775804369.1764, 0.270, 0.026,1775804368.6764, 0.058, 0.040, 0.026
1775804369.2764, 0.271, 0.015,1775804368.6764, 0.058, 0.040, 0.026
1775804369.3764, 0.272, 0.005,1775804368.6764, 0.058, 0.040, 0.026
1775804369.4764, 0.274, 0.004,1775804368.6764, 0.058, 0.040, 0.026
1775804369.5764, 0.275, 0.005,1775804368.6764, 0.058, 0.040, 0.026
1775804369.6764, 0.277, 0.004,1775804368.6764, 0.058, 0.040, 0.026
